Road_traffic_density,Time_taken(min),Type_of_vehicle,Time_Orderd,time_periods
High,22,motorcycle ,12:10:00,10:00-13:00
Medium,19,scooter ,17:40:00,16:00-19:00
Jam,39,scooter ,20:20:00,19:00-22:00
Jam,21,scooter ,21:00:00,19:00-22:00
Medium,42,motorcycle ,18:40:00,16:00-19:00
Low,19,motorcycle ,09:20:00,07:00-10:00
Medium,33,scooter ,17:15:00,16:00-19:00
Low,27,scooter ,22:45:00,22:00-00:00
Medium,39,motorcycle ,15:55:00,13:00-16:00
Low,16,scooter ,09:15:00,07:00-10:00
Jam,48,motorcycle ,22:00:00,22:00-00:00
Low,22,motorcycle ,22:25:00,22:00-00:00
Medium,48,motorcycle ,18:50:00,16:00-19:00
Jam,31,motorcycle ,20:20:00,19:00-22:00
Jam,19,electric_scooter ,19:30:00,19:00-22:00
Medium,17,scooter ,16:40:00,16:00-19:00
Low,18,scooter ,08:10:00,07:00-10:00
Medium,37,motorcycle ,18:35:00,16:00-19:00
Jam,18,motorcycle ,21:45:00,19:00-22:00
Jam,23,motorcycle ,19:50:00,19:00-22:00
Jam,32,motorcycle ,20:40:00,19:00-22:00
Jam,30,scooter ,21:45:00,19:00-22:00
Medium,34,electric_scooter ,18:10:00,16:00-19:00
Medium,29,motorcycle ,17:25:00,16:00-19:00
Jam,25,motorcycle ,19:10:00,19:00-22:00
Low,22,scooter ,09:25:00,07:00-10:00
Low,23,motorcycle ,23:10:00,22:00-00:00
Low,18,scooter ,22:10:00,22:00-00:00
Jam,20,electric_scooter ,20:10:00,19:00-22:00
Low,18,motorcycle ,23:35:00,22:00-00:00
Jam,32,scooter ,20:55:00,19:00-22:00
Low,19,electric_scooter ,08:15:00,07:00-10:00
Low,27,scooter ,22:10:00,22:00-00:00
Low,19,motorcycle ,10:15:00,10:00-13:00
Medium,26,motorcycle ,19:00:00,19:00-22:00
Low,19,scooter ,22:55:00,22:00-00:00
High,34,scooter ,15:00:00,13:00-16:00
Low,12,motorcycle ,23:25:00,22:00-00:00
Low,20,motorcycle ,23:35:00,22:00-00:00
Low,17,electric_scooter ,22:35:00,22:00-00:00
Low,24,scooter ,22:35:00,22:00-00:00
Jam,33,scooter ,19:25:00,19:00-22:00
Low,29,motorcycle ,22:25:00,22:00-00:00
Medium,25,motorcycle ,18:55:00,16:00-19:00
Low,18,scooter ,22:30:00,22:00-00:00
Jam,39,motorcycle ,19:50:00,19:00-22:00
Jam,20,motorcycle ,19:30:00,19:00-22:00
Low,15,motorcycle ,09:15:00,07:00-10:00
Jam,29,motorcycle ,19:35:00,19:00-22:00
Low,15,motorcycle ,09:50:00,07:00-10:00
Jam,31,motorcycle ,20:50:00,19:00-22:00
Low,14,motorcycle ,10:20:00,10:00-13:00
Jam,37,scooter ,21:25:00,19:00-22:00
Low,27,motorcycle ,08:40:00,07:00-10:00
Low,15,scooter ,23:10:00,22:00-00:00
Jam,31,motorcycle ,20:55:00,19:00-22:00
Jam,35,motorcycle ,20:45:00,19:00-22:00
Jam,23,scooter ,19:55:00,19:00-22:00
Medium,20,scooter ,19:00:00,19:00-22:00
Low,35,scooter ,23:20:00,22:00-00:00
High,41,motorcycle ,11:15:00,10:00-13:00
Jam,45,motorcycle ,21:20:00,19:00-22:00
Medium,27,motorcycle ,18:50:00,16:00-19:00
Jam,30,motorcycle ,20:15:00,19:00-22:00
Medium,28,electric_scooter ,18:40:00,16:00-19:00
Low,15,motorcycle ,09:55:00,07:00-10:00
Jam,18,scooter ,20:10:00,19:00-22:00
Jam,44,motorcycle ,21:35:00,19:00-22:00
Low,19,scooter ,22:40:00,22:00-00:00
Low,21,scooter ,08:30:00,07:00-10:00
Low,39,scooter ,22:55:00,22:00-00:00
Medium,19,scooter ,18:25:00,16:00-19:00
Medium,22,motorcycle ,18:15:00,16:00-19:00
Low,17,motorcycle ,22:15:00,22:00-00:00
High,22,scooter ,11:30:00,10:00-13:00
Low,18,scooter ,22:35:00,22:00-00:00
Jam,53,motorcycle ,19:30:00,19:00-22:00
Jam,18,motorcycle ,19:30:00,19:00-22:00
Jam,19,scooter ,19:25:00,19:00-22:00
Medium,15,electric_scooter ,17:15:00,16:00-19:00
Medium,11,electric_scooter ,17:25:00,16:00-19:00
Medium,30,motorcycle ,17:40:00,16:00-19:00
Jam,20,scooter ,21:50:00,19:00-22:00
Low,22,motorcycle ,10:45:00,10:00-13:00
Medium,36,scooter ,18:35:00,16:00-19:00
Jam,10,scooter ,20:30:00,19:00-22:00
Jam,44,motorcycle ,22:00:00,22:00-00:00
High,38,motorcycle ,12:25:00,10:00-13:00
Low,21,motorcycle ,23:40:00,22:00-00:00
Low,35,scooter ,23:40:00,22:00-00:00
Medium,25,motorcycle ,17:40:00,16:00-19:00
Low,15,scooter ,23:30:00,22:00-00:00
Low,19,scooter ,22:50:00,22:00-00:00
Medium,36,motorcycle ,18:45:00,16:00-19:00
Low,19,motorcycle ,22:20:00,22:00-00:00
Low,23,motorcycle ,23:15:00,22:00-00:00
Medium,18,scooter ,15:25:00,13:00-16:00
Jam,29,motorcycle ,19:30:00,19:00-22:00
Jam,19,scooter ,20:15:00,19:00-22:00
Jam,32,motorcycle ,21:35:00,19:00-22:00
Medium,36,motorcycle ,18:45:00,16:00-19:00
High,25,motorcycle ,13:15:00,13:00-16:00
Low,28,scooter ,08:55:00,07:00-10:00
Low,25,motorcycle ,23:35:00,22:00-00:00
Medium,33,scooter ,17:40:00,16:00-19:00
Low,20,motorcycle ,22:10:00,22:00-00:00
Low,18,scooter ,09:10:00,07:00-10:00
Low,21,scooter ,09:30:00,07:00-10:00
High,29,scooter ,11:20:00,10:00-13:00
Medium,20,electric_scooter ,17:15:00,16:00-19:00
Jam,27,scooter ,21:25:00,19:00-22:00
Jam,28,motorcycle ,20:00:00,19:00-22:00
Jam,34,motorcycle ,20:30:00,19:00-22:00
Low,19,motorcycle ,23:55:00,22:00-00:00
Low,13,scooter ,00:00:00,00:00-04:00
Low,17,scooter ,22:20:00,22:00-00:00
Medium,23,motorcycle ,18:20:00,16:00-19:00
High,25,motorcycle ,13:50:00,13:00-16:00
Low,16,motorcycle ,10:35:00,10:00-13:00
High,16,motorcycle ,11:25:00,10:00-13:00
Low,20,motorcycle ,09:20:00,07:00-10:00
Jam,39,motorcycle ,21:45:00,19:00-22:00
High,21,motorcycle ,12:10:00,10:00-13:00
Low,23,motorcycle ,22:45:00,22:00-00:00
Medium,34,motorcycle ,18:35:00,16:00-19:00
Low,25,motorcycle ,23:50:00,22:00-00:00
Jam,43,motorcycle ,19:10:00,19:00-22:00
Jam,38,motorcycle ,20:25:00,19:00-22:00
Low,19,scooter ,10:00:00,10:00-13:00
Jam,37,motorcycle ,19:40:00,19:00-22:00
Jam,28,motorcycle ,20:00:00,19:00-22:00
High,31,scooter ,11:30:00,10:00-13:00
Jam,17,motorcycle ,21:25:00,19:00-22:00
Jam,18,scooter ,21:40:00,19:00-22:00
Jam,21,motorcycle ,19:50:00,19:00-22:00
Medium,29,motorcycle ,17:15:00,16:00-19:00
Medium,42,motorcycle ,17:15:00,16:00-19:00
Jam,24,electric_scooter ,19:25:00,19:00-22:00
Medium,49,motorcycle ,17:10:00,16:00-19:00
Medium,27,motorcycle ,16:25:00,16:00-19:00
Jam,38,scooter ,19:50:00,19:00-22:00
Medium,26,motorcycle ,18:30:00,16:00-19:00
Medium,21,scooter ,18:15:00,16:00-19:00
High,13,scooter ,12:20:00,10:00-13:00
Low,16,scooter ,08:15:00,07:00-10:00
Jam,24,scooter ,19:15:00,19:00-22:00
Jam,27,motorcycle ,21:10:00,19:00-22:00
Jam,34,scooter ,20:25:00,19:00-22:00
Medium,31,motorcycle ,17:35:00,16:00-19:00
High,35,motorcycle ,12:40:00,10:00-13:00
Jam,25,scooter ,21:35:00,19:00-22:00
Medium,21,scooter ,17:00:00,16:00-19:00
Jam,30,scooter ,19:55:00,19:00-22:00
Low,24,motorcycle ,23:10:00,22:00-00:00
Medium,13,motorcycle ,17:45:00,16:00-19:00
High,25,motorcycle ,11:40:00,10:00-13:00
Jam,39,scooter ,20:20:00,19:00-22:00
Jam,22,motorcycle ,21:10:00,19:00-22:00
Jam,43,motorcycle ,19:40:00,19:00-22:00
Low,28,motorcycle ,23:10:00,22:00-00:00
Jam,26,electric_scooter ,19:25:00,19:00-22:00
Medium,34,scooter ,18:10:00,16:00-19:00
Medium,29,motorcycle ,18:35:00,16:00-19:00
Jam,37,motorcycle ,20:00:00,19:00-22:00
Medium,26,scooter ,17:35:00,16:00-19:00
Low,22,motorcycle ,09:55:00,07:00-10:00
Jam,36,motorcycle ,20:55:00,19:00-22:00
Medium,20,motorcycle ,17:20:00,16:00-19:00
Jam,26,scooter ,20:45:00,19:00-22:00
High,28,motorcycle ,14:10:00,13:00-16:00
Low,14,scooter ,09:10:00,07:00-10:00
Medium,34,motorcycle ,18:10:00,16:00-19:00
Medium,20,scooter ,18:00:00,16:00-19:00
Low,20,scooter ,08:50:00,07:00-10:00
Jam,46,motorcycle ,20:25:00,19:00-22:00
Jam,38,scooter ,21:30:00,19:00-22:00
Medium,18,motorcycle ,17:15:00,16:00-19:00
Low,20,motorcycle ,22:45:00,22:00-00:00
Low,22,motorcycle ,23:45:00,22:00-00:00
Low,21,motorcycle ,22:45:00,22:00-00:00
Jam,27,scooter ,21:35:00,19:00-22:00
Jam,18,electric_scooter ,20:45:00,19:00-22:00
Low,26,motorcycle ,23:30:00,22:00-00:00
Low,13,electric_scooter ,22:15:00,22:00-00:00
Medium,12,scooter ,16:15:00,16:00-19:00
Jam,33,motorcycle ,20:55:00,19:00-22:00
Low,19,motorcycle ,22:50:00,22:00-00:00
Medium,31,motorcycle ,18:40:00,16:00-19:00
Low,15,electric_scooter ,08:40:00,07:00-10:00
Jam,22,scooter ,21:45:00,19:00-22:00
Medium,19,motorcycle ,16:30:00,16:00-19:00
Low,11,motorcycle ,09:25:00,07:00-10:00
Low,21,motorcycle ,09:25:00,07:00-10:00
Low,12,motorcycle ,10:40:00,10:00-13:00
Medium,31,scooter ,17:35:00,16:00-19:00
Jam,38,motorcycle ,19:50:00,19:00-22:00
Jam,48,motorcycle ,20:30:00,19:00-22:00
Jam,22,motorcycle ,19:55:00,19:00-22:00
Jam,24,scooter ,21:55:00,19:00-22:00
High,16,motorcycle ,14:45:00,13:00-16:00
Medium,24,scooter ,18:00:00,16:00-19:00
Jam,27,scooter ,20:35:00,19:00-22:00
Low,33,motorcycle ,08:20:00,07:00-10:00
Low,23,motorcycle ,00:00:00,00:00-04:00
Low,20,motorcycle ,10:25:00,10:00-13:00
Medium,38,electric_scooter ,17:15:00,16:00-19:00
Medium,29,motorcycle ,19:00:00,19:00-22:00
High,30,electric_scooter ,11:40:00,10:00-13:00
Low,23,motorcycle ,22:15:00,22:00-00:00
Low,28,motorcycle ,10:20:00,10:00-13:00
Jam,27,scooter ,21:25:00,19:00-22:00
Low,13,motorcycle ,11:00:00,10:00-13:00
Medium,30,motorcycle ,19:00:00,19:00-22:00
Low,30,scooter ,22:45:00,22:00-00:00
Medium,21,scooter ,19:00:00,19:00-22:00
Jam,29,motorcycle ,20:25:00,19:00-22:00
High,32,scooter ,11:10:00,10:00-13:00
Medium,30,scooter ,15:45:00,13:00-16:00
Low,19,motorcycle ,10:20:00,10:00-13:00
Low,12,scooter ,08:10:00,07:00-10:00
Low,10,scooter ,08:35:00,07:00-10:00
Jam,28,motorcycle ,20:20:00,19:00-22:00
High,32,motorcycle ,13:25:00,13:00-16:00
Low,29,motorcycle ,10:50:00,10:00-13:00
Medium,28,motorcycle ,16:45:00,16:00-19:00
Medium,40,motorcycle ,17:20:00,16:00-19:00
Jam,42,motorcycle ,19:55:00,19:00-22:00
Medium,36,motorcycle ,18:20:00,16:00-19:00
Jam,40,motorcycle ,21:25:00,19:00-22:00
Low,25,motorcycle ,23:30:00,22:00-00:00
Low,10,motorcycle ,08:35:00,07:00-10:00
Jam,48,motorcycle ,20:00:00,19:00-22:00
Low,19,scooter ,23:40:00,22:00-00:00
Jam,34,scooter ,21:50:00,19:00-22:00
Low,22,scooter ,08:45:00,07:00-10:00
Low,14,motorcycle ,10:00:00,10:00-13:00
Jam,37,motorcycle ,20:25:00,19:00-22:00
High,35,motorcycle ,14:25:00,13:00-16:00
Low,22,motorcycle ,08:25:00,07:00-10:00
High,32,motorcycle ,13:35:00,13:00-16:00
Low,29,motorcycle ,10:15:00,10:00-13:00
Medium,22,motorcycle ,19:00:00,19:00-22:00
Jam,44,motorcycle ,21:40:00,19:00-22:00
Medium,34,motorcycle ,18:45:00,16:00-19:00
Medium,27,motorcycle ,18:55:00,16:00-19:00
Jam,35,motorcycle ,20:45:00,19:00-22:00
Low,20,scooter ,09:25:00,07:00-10:00
Medium,14,scooter ,16:50:00,16:00-19:00
Medium,33,motorcycle ,18:25:00,16:00-19:00
Low,34,scooter ,22:40:00,22:00-00:00
High,14,motorcycle ,12:15:00,10:00-13:00
Low,37,motorcycle ,23:15:00,22:00-00:00
Jam,31,motorcycle ,21:25:00,19:00-22:00
Low,12,scooter ,00:00:00,00:00-04:00
Medium,25,scooter ,18:45:00,16:00-19:00
Low,19,scooter ,08:45:00,07:00-10:00
Low,22,motorcycle ,10:55:00,10:00-13:00
Low,28,motorcycle ,08:45:00,07:00-10:00
Low,18,motorcycle ,22:10:00,22:00-00:00
Jam,40,motorcycle ,20:40:00,19:00-22:00
Medium,27,motorcycle ,18:35:00,16:00-19:00
Low,18,motorcycle ,22:30:00,22:00-00:00
Low,25,motorcycle ,22:45:00,22:00-00:00
Medium,19,scooter ,18:20:00,16:00-19:00
Jam,26,electric_scooter ,21:45:00,19:00-22:00
High,28,scooter ,14:00:00,13:00-16:00
Low,39,scooter ,23:15:00,22:00-00:00
Jam,26,scooter ,22:00:00,22:00-00:00
Low,10,scooter ,09:10:00,07:00-10:00
Low,13,scooter ,23:45:00,22:00-00:00
Medium,34,scooter ,18:00:00,16:00-19:00
Jam,23,scooter ,20:55:00,19:00-22:00
Low,16,motorcycle ,10:30:00,10:00-13:00
Jam,30,scooter ,19:30:00,19:00-22:00
Jam,25,motorcycle ,20:50:00,19:00-22:00
Medium,24,motorcycle ,17:45:00,16:00-19:00
Jam,32,scooter ,20:35:00,19:00-22:00
High,26,scooter ,11:55:00,10:00-13:00
Low,17,electric_scooter ,10:10:00,10:00-13:00
High,30,scooter ,11:50:00,10:00-13:00
Medium,30,motorcycle ,18:40:00,16:00-19:00
Low,15,motorcycle ,10:25:00,10:00-13:00
Jam,35,motorcycle ,21:20:00,19:00-22:00
Medium,21,motorcycle ,18:00:00,16:00-19:00
Low,19,scooter ,10:45:00,10:00-13:00
High,18,motorcycle ,15:00:00,13:00-16:00
Jam,30,motorcycle ,22:00:00,22:00-00:00
Low,21,motorcycle ,22:25:00,22:00-00:00
Medium,28,scooter ,16:40:00,16:00-19:00
Low,18,electric_scooter ,23:00:00,22:00-00:00
Low,28,motorcycle ,00:00:00,00:00-04:00
Low,42,motorcycle ,22:30:00,22:00-00:00
Medium,17,motorcycle ,18:55:00,16:00-19:00
Low,26,scooter ,23:40:00,22:00-00:00
Medium,31,scooter ,17:10:00,16:00-19:00
Medium,18,motorcycle ,17:35:00,16:00-19:00
Jam,33,scooter ,21:10:00,19:00-22:00
Jam,28,motorcycle ,20:10:00,19:00-22:00
Medium,11,scooter ,18:20:00,16:00-19:00
Medium,36,electric_scooter ,17:40:00,16:00-19:00
High,45,motorcycle ,12:25:00,10:00-13:00
High,12,motorcycle ,14:35:00,13:00-16:00
Jam,24,scooter ,22:00:00,22:00-00:00
Low,12,scooter ,23:30:00,22:00-00:00
High,24,motorcycle ,15:00:00,13:00-16:00
Low,18,scooter ,10:35:00,10:00-13:00
Low,18,electric_scooter ,23:00:00,22:00-00:00
Low,34,scooter ,22:50:00,22:00-00:00
Jam,34,motorcycle ,20:30:00,19:00-22:00
Medium,42,scooter ,19:00:00,19:00-22:00
Low,15,scooter ,23:55:00,22:00-00:00
Medium,43,scooter ,17:55:00,16:00-19:00
Low,16,motorcycle ,09:25:00,07:00-10:00
Low,15,motorcycle ,22:40:00,22:00-00:00
Medium,24,scooter ,19:00:00,19:00-22:00
Low,20,scooter ,22:20:00,22:00-00:00
Jam,25,scooter ,20:00:00,19:00-22:00
Medium,34,scooter ,18:20:00,16:00-19:00
Low,11,scooter ,08:20:00,07:00-10:00
Jam,30,motorcycle ,21:25:00,19:00-22:00
Jam,14,scooter ,20:25:00,19:00-22:00
Medium,44,motorcycle ,17:15:00,16:00-19:00
Jam,33,motorcycle ,19:55:00,19:00-22:00
Low,37,motorcycle ,23:35:00,22:00-00:00
Medium,31,motorcycle ,18:00:00,16:00-19:00
Medium,24,scooter ,18:10:00,16:00-19:00
High,30,scooter ,14:15:00,13:00-16:00
Jam,27,motorcycle ,19:25:00,19:00-22:00
Medium,17,scooter ,17:25:00,16:00-19:00
Low,28,motorcycle ,10:45:00,10:00-13:00
Jam,35,electric_scooter ,20:15:00,19:00-22:00
Medium,22,motorcycle ,18:35:00,16:00-19:00
Jam,17,motorcycle ,20:30:00,19:00-22:00
Low,16,scooter ,23:00:00,22:00-00:00
Low,44,motorcycle ,22:20:00,22:00-00:00
Jam,31,motorcycle ,21:45:00,19:00-22:00
Low,25,motorcycle ,22:50:00,22:00-00:00
Low,13,motorcycle ,10:30:00,10:00-13:00
Jam,32,motorcycle ,19:55:00,19:00-22:00
Jam,27,motorcycle ,19:20:00,19:00-22:00
Low,32,motorcycle ,22:10:00,22:00-00:00
Jam,28,motorcycle ,19:50:00,19:00-22:00
Low,14,motorcycle ,09:00:00,07:00-10:00
Medium,29,motorcycle ,15:15:00,13:00-16:00
Medium,38,motorcycle ,18:20:00,16:00-19:00
Jam,17,motorcycle ,21:50:00,19:00-22:00
Low,16,scooter ,08:35:00,07:00-10:00
Low,16,scooter ,22:20:00,22:00-00:00
Low,25,motorcycle ,00:00:00,00:00-04:00
Low,18,motorcycle ,09:50:00,07:00-10:00
Jam,29,motorcycle ,19:15:00,19:00-22:00
Jam,13,motorcycle ,19:40:00,19:00-22:00
Medium,28,scooter ,17:10:00,16:00-19:00
Low,21,motorcycle ,22:25:00,22:00-00:00
Low,11,motorcycle ,23:10:00,22:00-00:00
High,26,motorcycle ,11:20:00,10:00-13:00
Low,11,electric_scooter ,22:50:00,22:00-00:00
Medium,22,motorcycle ,17:50:00,16:00-19:00
Jam,21,scooter ,21:40:00,19:00-22:00
Medium,30,electric_scooter ,17:40:00,16:00-19:00
Medium,17,motorcycle ,15:15:00,13:00-16:00
Medium,35,motorcycle ,18:00:00,16:00-19:00
Low,23,motorcycle ,23:25:00,22:00-00:00
Medium,22,electric_scooter ,19:00:00,19:00-22:00
Jam,19,scooter ,21:30:00,19:00-22:00
Medium,18,motorcycle ,15:40:00,13:00-16:00
Jam,49,motorcycle ,19:55:00,19:00-22:00
Jam,36,motorcycle ,21:45:00,19:00-22:00
Low,19,scooter ,10:55:00,10:00-13:00
Medium,25,motorcycle ,16:50:00,16:00-19:00
Low,18,electric_scooter ,23:00:00,22:00-00:00
Low,24,motorcycle ,23:50:00,22:00-00:00
Jam,47,motorcycle ,21:25:00,19:00-22:00
Medium,33,motorcycle ,18:35:00,16:00-19:00
High,33,scooter ,11:10:00,10:00-13:00
High,38,motorcycle ,13:20:00,13:00-16:00
Jam,25,motorcycle ,19:50:00,19:00-22:00
Jam,49,scooter ,19:40:00,19:00-22:00
Medium,26,motorcycle ,17:50:00,16:00-19:00
Jam,33,motorcycle ,21:50:00,19:00-22:00
High,34,motorcycle ,13:35:00,13:00-16:00
Medium,25,electric_scooter ,18:45:00,16:00-19:00
Low,21,electric_scooter ,10:40:00,10:00-13:00
High,15,scooter ,11:40:00,10:00-13:00
High,32,motorcycle ,11:40:00,10:00-13:00
Low,16,scooter ,23:25:00,22:00-00:00
Jam,43,motorcycle ,21:10:00,19:00-22:00
Low,26,motorcycle ,23:20:00,22:00-00:00
Low,16,scooter ,08:15:00,07:00-10:00
Low,17,scooter ,23:55:00,22:00-00:00
Jam,23,scooter ,21:45:00,19:00-22:00
Jam,39,motorcycle ,20:00:00,19:00-22:00
Jam,46,motorcycle ,19:30:00,19:00-22:00
Jam,47,motorcycle ,21:15:00,19:00-22:00
Jam,48,motorcycle ,20:55:00,19:00-22:00
Low,19,scooter ,09:50:00,07:00-10:00
Low,21,motorcycle ,10:40:00,10:00-13:00
Medium,44,motorcycle ,17:45:00,16:00-19:00
Jam,31,motorcycle ,20:00:00,19:00-22:00
Jam,30,electric_scooter ,21:55:00,19:00-22:00
Medium,27,scooter ,17:25:00,16:00-19:00
Medium,22,scooter ,18:10:00,16:00-19:00
High,27,electric_scooter ,12:25:00,10:00-13:00
Medium,23,scooter ,18:20:00,16:00-19:00
Low,22,scooter ,22:35:00,22:00-00:00
Jam,22,motorcycle ,19:45:00,19:00-22:00
Low,22,scooter ,08:40:00,07:00-10:00
Medium,18,scooter ,17:50:00,16:00-19:00
Jam,47,motorcycle ,20:30:00,19:00-22:00
Low,29,motorcycle ,23:35:00,22:00-00:00
Low,26,scooter ,22:30:00,22:00-00:00
Low,17,motorcycle ,23:00:00,22:00-00:00
Jam,38,scooter ,21:30:00,19:00-22:00
High,28,motorcycle ,14:25:00,13:00-16:00
Medium,25,electric_scooter ,18:25:00,16:00-19:00
High,18,motorcycle ,14:15:00,13:00-16:00
Jam,31,motorcycle ,20:20:00,19:00-22:00
Medium,40,motorcycle ,17:55:00,16:00-19:00
Low,15,scooter ,09:10:00,07:00-10:00
Medium,14,motorcycle ,19:00:00,19:00-22:00
Jam,34,scooter ,19:30:00,19:00-22:00
Medium,16,electric_scooter ,17:15:00,16:00-19:00
Low,21,motorcycle ,09:20:00,07:00-10:00
Low,15,scooter ,10:20:00,10:00-13:00
Jam,24,motorcycle ,20:45:00,19:00-22:00
Jam,38,scooter ,21:40:00,19:00-22:00
Jam,27,motorcycle ,20:45:00,19:00-22:00
High,37,scooter ,14:40:00,13:00-16:00
Medium,18,scooter ,17:50:00,16:00-19:00
Jam,28,scooter ,20:30:00,19:00-22:00
Jam,23,scooter ,19:35:00,19:00-22:00
High,16,motorcycle ,12:50:00,10:00-13:00
Medium,39,motorcycle ,17:40:00,16:00-19:00
Medium,15,scooter ,17:35:00,16:00-19:00
Jam,25,motorcycle ,21:25:00,19:00-22:00
Medium,25,motorcycle ,18:45:00,16:00-19:00
Jam,38,electric_scooter ,20:20:00,19:00-22:00
High,43,motorcycle ,11:45:00,10:00-13:00
Low,40,motorcycle ,23:55:00,22:00-00:00
Jam,23,motorcycle ,20:55:00,19:00-22:00
Low,19,scooter ,23:00:00,22:00-00:00
Low,14,scooter ,22:10:00,22:00-00:00
Low,10,electric_scooter ,23:45:00,22:00-00:00
Medium,28,motorcycle ,17:15:00,16:00-19:00
Low,17,motorcycle ,22:45:00,22:00-00:00
Jam,32,scooter ,21:00:00,19:00-22:00
High,26,motorcycle ,11:15:00,10:00-13:00
Jam,40,scooter ,20:15:00,19:00-22:00
Low,18,scooter ,09:00:00,07:00-10:00
Medium,28,motorcycle ,17:20:00,16:00-19:00
Low,11,electric_scooter ,22:45:00,22:00-00:00
Medium,29,motorcycle ,18:20:00,16:00-19:00
Medium,34,motorcycle ,18:35:00,16:00-19:00
Low,12,motorcycle ,10:15:00,10:00-13:00
Jam,26,electric_scooter ,22:00:00,22:00-00:00
Low,25,motorcycle ,00:00:00,00:00-04:00
Low,26,motorcycle ,23:55:00,22:00-00:00
High,38,motorcycle ,14:40:00,13:00-16:00
Low,24,scooter ,09:40:00,07:00-10:00
Jam,30,scooter ,21:50:00,19:00-22:00
Jam,44,motorcycle ,20:45:00,19:00-22:00
Medium,15,scooter ,17:55:00,16:00-19:00
Low,27,scooter ,23:20:00,22:00-00:00
Jam,21,electric_scooter ,19:15:00,19:00-22:00
Jam,28,motorcycle ,20:45:00,19:00-22:00
Medium,39,motorcycle ,17:15:00,16:00-19:00
Jam,33,electric_scooter ,19:35:00,19:00-22:00
Low,23,motorcycle ,23:20:00,22:00-00:00
Low,19,motorcycle ,22:10:00,22:00-00:00
Jam,36,motorcycle ,19:45:00,19:00-22:00
Medium,22,electric_scooter ,18:20:00,16:00-19:00
High,28,motorcycle ,12:00:00,10:00-13:00
Low,11,scooter ,23:50:00,22:00-00:00
Jam,36,motorcycle ,21:40:00,19:00-22:00
Low,25,electric_scooter ,08:45:00,07:00-10:00
Medium,33,motorcycle ,18:20:00,16:00-19:00
Jam,36,electric_scooter ,19:45:00,19:00-22:00
High,33,motorcycle ,14:55:00,13:00-16:00
Jam,28,scooter ,20:50:00,19:00-22:00
Jam,23,electric_scooter ,19:10:00,19:00-22:00
Jam,29,motorcycle ,19:45:00,19:00-22:00
Low,13,electric_scooter ,22:25:00,22:00-00:00
Medium,35,scooter ,18:40:00,16:00-19:00
Low,22,motorcycle ,08:50:00,07:00-10:00
Medium,25,electric_scooter ,18:10:00,16:00-19:00
Low,13,electric_scooter ,08:45:00,07:00-10:00
Low,23,scooter ,23:30:00,22:00-00:00
Low,28,scooter ,10:40:00,10:00-13:00
Jam,27,motorcycle ,19:20:00,19:00-22:00
Jam,49,motorcycle ,20:50:00,19:00-22:00
Jam,42,motorcycle ,20:35:00,19:00-22:00
Jam,23,electric_scooter ,20:30:00,19:00-22:00
Low,17,scooter ,09:35:00,07:00-10:00
Low,18,motorcycle ,09:10:00,07:00-10:00
Medium,26,motorcycle ,18:55:00,16:00-19:00
Low,18,scooter ,23:35:00,22:00-00:00
Low,25,motorcycle ,22:20:00,22:00-00:00
Jam,34,scooter ,20:45:00,19:00-22:00
Jam,37,scooter ,21:00:00,19:00-22:00
High,27,motorcycle ,12:10:00,10:00-13:00
Jam,36,motorcycle ,19:10:00,19:00-22:00
Low,22,electric_scooter ,23:35:00,22:00-00:00
Medium,21,scooter ,18:40:00,16:00-19:00
Jam,32,electric_scooter ,20:30:00,19:00-22:00
Medium,13,scooter ,15:30:00,13:00-16:00
Medium,30,scooter ,19:00:00,19:00-22:00
Jam,30,scooter ,20:10:00,19:00-22:00
Low,26,motorcycle ,22:35:00,22:00-00:00
Low,42,scooter ,22:50:00,22:00-00:00
Jam,37,motorcycle ,21:15:00,19:00-22:00
Low,22,motorcycle ,10:15:00,10:00-13:00
Low,15,motorcycle ,22:25:00,22:00-00:00
Low,24,motorcycle ,09:30:00,07:00-10:00
Jam,40,motorcycle ,21:35:00,19:00-22:00
Low,16,motorcycle ,09:00:00,07:00-10:00
Low,29,motorcycle ,22:25:00,22:00-00:00
Jam,33,motorcycle ,20:45:00,19:00-22:00
Low,27,motorcycle ,23:15:00,22:00-00:00
Medium,39,scooter ,17:45:00,16:00-19:00
Jam,28,scooter ,21:20:00,19:00-22:00
Low,29,motorcycle ,23:20:00,22:00-00:00
Low,14,scooter ,10:20:00,10:00-13:00
High,45,motorcycle ,14:15:00,13:00-16:00
Low,18,motorcycle ,22:25:00,22:00-00:00
Medium,29,scooter ,17:25:00,16:00-19:00
Jam,17,scooter ,21:50:00,19:00-22:00
Low,26,motorcycle ,22:25:00,22:00-00:00
High,27,electric_scooter ,11:40:00,10:00-13:00
Low,18,scooter ,23:10:00,22:00-00:00
Low,15,electric_scooter ,00:00:00,00:00-04:00
High,32,motorcycle ,12:35:00,10:00-13:00
Low,28,scooter ,09:00:00,07:00-10:00
Medium,35,motorcycle ,17:40:00,16:00-19:00
Jam,28,motorcycle ,20:00:00,19:00-22:00
Medium,33,motorcycle ,17:15:00,16:00-19:00
Medium,35,electric_scooter ,17:30:00,16:00-19:00
Jam,41,motorcycle ,19:35:00,19:00-22:00
Jam,16,motorcycle ,19:55:00,19:00-22:00
Low,15,motorcycle ,22:10:00,22:00-00:00
